loss,mae,msle,val_loss,val_mae,val_msle
1.12605873,341.4506836,1.126059055,1.099448662,335.4801331,1.0994488
1.124600857,339.4862671,1.12460041,1.053167723,330.2796631,1.053167939
1.138487055,338.4277039,1.138486981,1.077218448,343.6820984,1.077218413
1.118832431,335.4814758,1.118832231,1.058072047,328.7843628,1.05807209
1.127228604,336.3552246,1.127228498,1.050423093,336.2891235,1.050423145
1.116014371,335.6614685,1.116014123,1.04965229,325.5800781,1.049652338
1.137484965,336.1481018,1.137485027,1.041487212,325.3549194,1.041487217
1.113475954,334.5863342,1.113476157,1.0479293,329.7183533,1.047929406
1.11743909,334.9943848,1.117439032,1.043842088,321.7306824,1.043841839
1.142300227,334.6675415,1.142300725,1.039664756,328.4535828,1.039664507
1.122792575,333.5878906,1.122792363,1.045792818,326.4093628,1.045792818
1.115986537,336.7102661,1.115986228,1.036687872,325.2316895,1.03668797
1.086787888,330.6087646,1.086788177,1.031725964,322.2702332,1.031726122
1.093467853,333.0458374,1.093467593,1.035755527,321.7640381,1.035755515
1.095471658,331.652771,1.095471621,1.032912174,326.6860352,1.032912135
1.103662517,333.3769836,1.103662252,1.026737006,325.4606934,1.026736975
1.103293956,334.2565918,1.103294134,1.022478819,324.9125366,1.022478461
1.099033621,333.7890625,1.099033237,1.028666188,330.8461609,1.028666019
1.088122367,330.3070068,1.088122249,1.006634137,323.8452454,1.006634235
1.077775386,329.4226685,1.077775478,1.012471433,326.5144958,1.012471437
1.084307819,330.2766418,1.084307551,0.9929059,321.2750549,0.992905855
1.075647762,331.9146118,1.075647712,0.985249119,319.635498,0.985249102
1.052701459,328.5649109,1.052701473,0.982075252,316.5461121,0.982075214
1.079570444,327.7792358,1.079570532,0.990774539,318.7185669,0.990774512
1.071360216,330.4864502,1.071359754,0.982243358,320.410614,0.982243359
1.062014701,328.7367554,1.06201458,0.973797065,318.9145203,0.973797083
1.052917427,328.3576355,1.052917242,0.986839317,323.4811401,0.986839354
1.092824734,328.4007263,1.092824817,0.973403245,312.7964478,0.973403096
1.065428824,328.3891602,1.065428734,0.969131954,319.5203857,0.969132125
1.054777998,327.3931885,1.05477798,0.968815507,322.4744873,0.968815506
1.052575884,328.1177979,1.052575946,0.962367424,318.5673828,0.962367356
1.054541274,328.960083,1.054540992,0.968051997,316.1008911,0.96805197
1.054242087,325.6972961,1.054242373,0.953848652,319.0524902,0.95384872
1.04111791,324.3685913,1.041117787,0.957623841,317.2692871,0.957623899
1.051084533,328.4633789,1.051084518,0.96319228,315.6214905,0.963192284
1.0625016,331.2869263,1.062501311,0.947568624,315.8619385,0.947568536
1.024253534,324.7643127,1.024253607,0.942553203,312.4809875,0.942553341
1.000055232,323.34729,1.000055194,0.947935995,322.9232788,0.947936058
1.024109866,323.7159729,1.024109721,0.938112779,313.3121338,0.938112795
1.021752321,326.9107971,1.021752238,0.932973327,316.0842285,0.932973266
1.013710674,322.0884705,1.013710618,0.935336315,319.9701538,0.935336351
1.016444513,324.6686707,1.016444683,0.929543966,319.7806091,0.929544032
1.032852136,324.6317139,1.032851815,0.932220553,318.17453,0.932220578
1.026058613,325.3533325,1.026058555,0.920584504,312.7058716,0.9205845
0.995126151,323.4690857,0.995126188,0.917022301,318.1691895,0.917022347
1.036451287,327.6204834,1.03645134,0.917208979,330.8978882,0.91720897
1.005410106,324.5602112,1.005410194,0.910929116,313.0355225,0.910929084
0.98947679,324.1871643,0.989476681,0.909215051,314.1242676,0.909215152
1.010545126,328.7198486,1.010545254,0.938034604,334.7868652,0.938034654
1.003902002,324.0691223,1.003902197,0.91504073,320.1838684,0.915040791
0.990689979,323.2145691,0.990690112,0.898471156,317.4789124,0.898471177
0.97917036,324.4423218,0.979170203,0.896784417,316.9111328,0.896784484
0.990213433,323.5559692,0.990213096,0.893590251,317.995697,0.89359045
1.013801912,326.7533264,1.013801813,0.892197108,330.2266235,0.892197073
0.991246993,325.7229614,0.991247475,0.901194055,319.446991,0.901194155
0.961707436,322.6832886,0.961707234,0.88707068,317.7974854,0.887070596
0.978456053,324.5570374,0.978456259,0.903599759,316.9446106,0.903599977
0.984825612,326.4030762,0.98482579,0.879851437,323.7258606,0.87985146
0.985917583,326.0192566,0.985917509,0.880559837,317.932373,0.880559862
0.962173641,324.6980591,0.962173522,0.885625603,313.3799133,0.885625482
0.976795815,324.8676147,0.976795971,0.887240503,312.5516968,0.887240529
0.977517228,327.3755493,0.977517188,0.867916118,320.6202698,0.867916107
0.970527277,325.2642212,0.97052747,0.880303292,319.8513184,0.880303204
0.9747579,329.2894897,0.974757731,0.876808954,329.4919739,0.876809061
0.972042859,330.3156128,0.972042561,0.882477575,314.2574768,0.882477641
0.97018254,329.5142212,0.970182598,0.861556286,320.2139587,0.861556232
0.966818614,328.2125854,0.966818929,0.855048075,319.7257996,0.855047941
0.984399792,329.9003601,0.984399915,0.858720069,325.5219421,0.858720124
0.960746672,329.7836304,0.960746408,0.852395245,317.657135,0.852395236
0.949463539,327.4411011,0.949463487,0.859543402,320.0552368,0.859543264
0.939635213,327.5275879,0.939634979,0.845005799,319.1167297,0.845005751
0.963184408,330.9825134,0.963184297,0.845794084,320.6203308,0.845794141
0.951883507,329.8519287,0.951883912,0.838976509,322.6936646,0.838976383
0.953330324,334.7943115,0.953330159,0.838414008,330.1764221,0.838414073
0.959089103,334.7605591,0.959089279,0.847522193,324.6994019,0.847522259
0.938853442,332.4805603,0.938853502,0.845060653,321.2943115,0.845060647
0.968284792,333.7749023,0.968285084,0.836894059,325.7836304,0.836894155
0.938875052,335.4906311,0.938875198,0.837367766,322.578949,0.837367892
0.952865471,336.0627136,0.952865422,0.842017435,326.4703369,0.842017472
0.977739722,338.1776428,0.977740049,0.841337072,330.9752502,0.841337085
0.967104611,338.8143616,0.967104614,0.826245082,320.9855347,0.82624501
0.949569608,335.9490356,0.949569404,0.850558667,327.813385,0.850558698
0.924442219,338.6882935,0.924442172,0.82967843,327.4441528,0.829678535
0.923270176,337.3371887,0.923270106,0.820379921,334.0444641,0.820379972
0.915673646,337.2078552,0.915673614,0.806975853,331.641449,0.806975901
0.90899821,339.511261,0.908997774,0.808517988,332.4319153,0.808517992
0.920937891,338.8164673,0.920937777,0.787633152,329.026062,0.787633121
0.879525161,338.917511,0.879525304,0.787672575,333.6315308,0.787672698
0.932875372,344.6198425,0.932875574,0.800509583,336.6061401,0.800509632
0.892281111,342.8974915,0.892281055,0.788204159,336.8752441,0.788204193
0.92722495,344.3772583,0.927224994,0.786920821,341.1838379,0.786920726
0.922194038,348.6105957,0.922194123,0.786646651,336.431427,0.786646605
0.869383938,345.8414612,0.869383872,0.780228388,336.9152832,0.780228496
0.866493031,344.2124329,0.866492987,0.772073887,339.8355713,0.772073925
0.881942002,348.2858887,0.881941617,0.766264464,340.5980835,0.766264558
0.86536472,349.5286255,0.865364671,0.772480047,349.2004089,0.772479951
0.888570806,354.4699097,0.888570905,0.78140365,351.6351624,0.78140372
0.898073753,354.0962219,0.898073912,0.760062333,346.2402954,0.760062397
0.8830392,356.129303,0.883039355,0.751715523,350.0776062,0.751715481
0.870997025,354.8200073,0.870996773,0.739926172,348.7861633,0.739926159
0.884769732,359.1534729,0.884769917,0.735086346,346.986145,0.735086322
0.871164009,355.8335876,0.871164083,0.730344423,348.5739136,0.730344355
0.858509004,356.5478516,0.858509004,0.731360101,348.8269043,0.731360137
0.848424422,358.3972473,0.848424733,0.738880444,354.8126831,0.738880515
0.825864767,359.2322083,0.825864673,0.718892067,357.1470642,0.718892217
0.828395186,360.7267151,0.828395128,0.72651661,351.3615723,0.726516545
0.835565885,364.3831482,0.835565925,0.708831675,352.0992126,0.708831668
0.847311798,361.068512,0.847311735,0.725500588,362.1142883,0.725500643
0.837967492,366.1338501,0.837967575,0.725006951,359.264679,0.725006998
0.807641663,364.6069641,0.807641685,0.719982708,357.6953125,0.719982743
0.824877229,367.8507385,0.824877322,0.679088116,356.5174866,0.679088116
0.815814439,365.1220703,0.815814435,0.682741649,364.2585144,0.682741642
0.81094298,369.1809998,0.810943067,0.692303579,362.3257141,0.692303598
0.81711262,367.3250122,0.817112565,0.675920944,363.2417603,0.675921023
0.818248734,369.6965942,0.81824851,0.680620755,362.0740967,0.68062073
0.833506783,374.5474243,0.833506823,0.698669422,370.400177,0.698669434
0.840023277,373.9233093,0.840023339,0.683602278,369.3469849,0.683602273
0.819675956,372.8188171,0.819676101,0.664295086,366.4419556,0.664295077
0.813815104,374.5111389,0.813815355,0.658233604,369.6642151,0.658233643
0.813361803,376.9899292,0.813361943,0.68957215,363.6534119,0.689572215
0.781798868,373.1114502,0.781798959,0.667947285,363.1030579,0.667947292
0.776542433,374.6074829,0.776542425,0.644704977,370.014801,0.644705057
0.785957202,378.7307129,0.785957158,0.635846864,368.8903198,0.635846794
0.78697517,379.3280945,0.786975086,0.64264992,369.2463379,0.642649829
0.817376137,381.2918396,0.817376137,0.654081101,372.217865,0.654081106
0.805087922,380.9948425,0.805088103,0.633577606,373.4220276,0.633577645
0.786152565,383.7802429,0.786152661,0.621079244,378.1103516,0.621079206
0.779482513,383.9101257,0.779482424,0.609970731,375.057373,0.609970748
0.785282367,384.1447144,0.785282254,0.631605029,374.765625,0.631605029
0.824926065,386.3726196,0.824926078,0.659707881,387.3945618,0.659707844
0.768428474,383.9291077,0.768428683,0.62039187,376.1252136,0.620391965
0.80149185,385.973114,0.801491737,0.622322906,382.70224,0.622322857
0.76765267,387.7622375,0.767652512,0.669474231,373.1442566,0.669474244
0.790235509,388.5101318,0.790235579,0.595259778,374.8066101,0.595259786
0.757730579,387.2578125,0.757730782,0.602601489,383.2323914,0.602601528
0.738027909,387.0126343,0.738028049,0.623733842,378.0581665,0.623733938
0.756483656,388.5641785,0.756483674,0.584420481,381.6749878,0.584420383
0.761298729,390.0595093,0.761298656,0.582725346,381.6812744,0.582725406
0.769759427,392.8096619,0.769759119,0.598085688,395.4107056,0.598085642
0.755852947,394.6511841,0.755852938,0.580758374,385.9142761,0.580758393
0.743106191,394.1737976,0.743106127,0.564354493,384.6137695,0.564354479
0.73991385,392.050354,0.739913762,0.603463474,394.3865051,0.603463411
0.767703633,396.2251892,0.767703474,0.570784707,382.0606384,0.570784748
0.746093792,395.2052917,0.74609375,0.614121509,381.3010559,0.614121437
0.741630529,395.4367065,0.741630733,0.54970191,386.0927124,0.549701929
0.746707852,399.5276794,0.746708035,0.588864082,387.2114563,0.588864028
0.709618546,398.2168884,0.709618509,0.54973214,392.0245361,0.549732149
0.745582991,397.9028625,0.745582938,0.604955228,388.1231995,0.604955256
0.735012999,400.1368408,0.735013068,0.543205079,393.7120361,0.543205023
0.735869577,400.2285767,0.735869646,0.597215302,388.2357178,0.597215354
0.746149152,404.6478271,0.746149063,0.606158805,394.2018433,0.606158733
0.752649243,406.4696655,0.752649188,0.554731032,398.3289795,0.554731011
0.730334425,404.7221985,0.730334222,0.557619569,397.2453918,0.557619631
0.74481755,405.9918823,0.744817495,0.556602606,401.6630249,0.556602538
0.738194893,406.4972839,0.738194823,0.567131845,396.4196167,0.567131817
0.728932335,408.0892334,0.728932202,0.550545525,401.2391663,0.550545454
0.741531933,409.9372864,0.741531849,0.558020316,406.5921631,0.558020353
0.718298336,407.4941711,0.718298137,0.546565459,395.9781189,0.546565473
0.723017242,411.186676,0.723017335,0.532553937,400.5889893,0.532553911
0.736237899,414.0473022,0.736237705,0.539761844,401.7029724,0.539761841
0.716382181,411.3791504,0.716382205,0.524913334,419.390686,0.524913311
0.735012958,413.2287903,0.735013008,0.586178698,399.0384827,0.58617866
0.762537498,416.0856323,0.762537718,0.561624362,418.7749634,0.561624289
0.717339233,415.6999512,0.717339396,0.517751496,403.60672,0.517751455
0.725923876,416.7724304,0.725923777,0.511985251,411.1061096,0.511985242
0.716814981,414.9733887,0.716814995,0.531449015,405.5418396,0.53144908
0.738702933,418.7654114,0.738703072,0.631728142,405.7835388,0.631728113
0.730591001,419.1004639,0.73059088,0.500501578,411.8078003,0.500501573
0.729032527,422.6700134,0.729032695,0.560061581,417.2886658,0.560061514
0.726890084,419.9751892,0.726890087,0.614806679,405.3532715,0.614806712
0.710097215,423.5750427,0.710097253,0.534691843,415.2475891,0.534691811
0.733591476,423.7105408,0.733591616,0.513860548,411.1701965,0.513860583
0.698984391,421.9907532,0.698984325,0.523538516,426.2185059,0.52353853
0.724901998,426.7322388,0.724902034,0.525241017,411.635376,0.525241137
0.707235691,424.9318848,0.707235873,0.515292291,411.0881348,0.515292406
0.681907648,423.3529358,0.681907415,0.572301839,410.6893616,0.572301865
0.704539808,426.7575378,0.704540014,0.493387791,416.8406982,0.493387848
0.689801486,428.586853,0.689801514,0.498121409,419.2128601,0.498121381
0.720638854,431.0102539,0.72063899,0.513508721,417.4295654,0.513508737
0.705,430.0192566,0.705000103,0.523121521,417.6876831,0.523121476
0.668650549,422.3237,0.668650568,0.483023795,414.3458252,0.483023882
0.679981195,415.1521606,0.679981232,0.496354573,398.7368774,0.49635464
0.708716269,412.7999268,0.708716333,0.522957396,403.7739258,0.522957325
0.693939072,408.5118408,0.693939269,0.528528824,397.4566345,0.52852875
0.701960836,410.7666321,0.701960862,0.48715515,399.5829468,0.487155139
0.689294905,411.3059692,0.689294815,0.47952344,402.1911316,0.47952345
0.717539989,410.6836243,0.717539966,0.46522026,406.7853394,0.465220213
0.734111364,416.2671509,0.734111428,0.517940789,403.0025635,0.517940819
0.70115497,416.2192078,0.701154888,0.499540813,412.062439,0.499540806
0.695308843,413.0950012,0.695308805,0.468299808,402.30896,0.468299747
0.678323975,414.944397,0.678323925,0.525615379,411.7966614,0.525615394
0.677049866,414.1907654,0.677049756,0.484008315,408.5979309,0.484008402
0.692955297,416.6100769,0.692955494,0.471058138,407.1705017,0.47105816
0.680004601,414.1730347,0.680004716,0.471899216,408.3088989,0.471899211
0.681794352,417.8782349,0.681794167,0.505102661,407.1108704,0.505102694
0.680260794,420.0397034,0.680260777,0.47062889,408.6173401,0.470628917
0.677052949,417.5409851,0.677052915,0.449106739,410.9684143,0.449106783
0.67186536,418.4830627,0.671865523,0.46180022,409.6289063,0.461800247
0.686568605,420.5151978,0.686568677,0.442363745,414.335083,0.442363769
0.690464862,422.485199,0.690464914,0.478339516,409.6191101,0.478339493
0.725901343,423.9285583,0.725901365,0.467608791,413.8555298,0.46760878
0.658836302,419.9232483,0.658836365,0.512779538,418.6344604,0.512779534
0.656701315,421.0043945,0.656701148,0.492014818,409.5555115,0.492014796
0.661186658,424.2445068,0.661186516,0.475292708,413.0409241,0.475292683
0.632746614,420.213501,0.632746518,0.436181609,411.8768311,0.436181605
0.644626756,422.5679932,0.644626617,0.434894028,421.6960144,0.434894055
0.669061846,423.8020935,0.66906184,0.458461945,418.5215759,0.458462
0.687190112,427.4989929,0.687190115,0.479537698,417.4029541,0.479537696
0.644179182,426.6288452,0.644178927,0.452337296,426.2156982,0.452337205
0.697627003,426.6307373,0.697626889,0.48820138,429.1062927,0.48820141
