,0,,,197.9315658,,,Total rotation,ANFIS,ANN
468,4700.5,,,,,,,,
469,0,,,,,,,,
470,0,,,,,,,,
471,6350.5,,,,,,,,
472,4700.5,,,,,,,,
473,4700.5,,,,,,,,
474,4700.5,,,,,,,,
475,2100,,,,,,,,
476,4700.5,,,,,,,,
477,3300.5,,,,,,,,
478,3300.5,,,,,,,,
479,0,,,,,,,,
480,3300.5,,,,,,,,
481,0,,,,,,,,
482,4700.5,,,,,,,,
483,3300.5,,,,,,,,
484,3300.5,,,,,,,,
485,2100,,,,,,,,
486,4700.5,,,,,,,,
487,3300.5,,,,,,,,
488,2100,,,,,,,,
489,2100,,,,,,,,
490,2100,,,,,,,,
491,0,,,,,,,,
492,0,,,,,,,,
493,6350.5,,,,,,,,
494,3300.5,,,,,,,,
495,0,,,,,,,,
496,0,,,,,,,,
497,4700.5,,,,,,,,
498,4700.5,,,,,,,,
499,2100,,,,,,,,
500,4700.5,,,,,,,,
501,4700.5,,,,,,,,
502,3300.5,,,,,,,,
503,4700.5,,,,,,,,
504,3300.5,,,,,,,,
505,3300.5,,,,,,,,
506,4700.5,,,,,,,,
507,3300.5,,,,,,,,
508,0,,,,,,,,
509,3300.5,,,,,,,,
510,4700.5,,,,,,,,
511,4700.5,,,,,,,,
512,3300.5,,,,,,,,
513,0,,,,,,,,
514,3300.5,,,,,,,,
515,4700.5,,,,,,,,
516,0,,,,,,,,
517,3300.5,,,,,,,,
518,3300.5,,,,,,,,
519,6350.5,,,,,,,,
520,0,,,,,,,,
521,6350.5,,,,,,,,
522,6350.5,,,,,,,,
523,3300.5,,,,,,,,
524,3300.5,,,,,,,,
525,3300.5,,,,,,,,
526,0,,,,,,,,
527,4700.5,,,,,,,,
528,2100,,,,,,,,
529,6350.5,,,,,,,,
530,4700.5,,,,,,,,
531,6350.5,,,,,,,,
532,3300.5,,,,,,,,
533,2100,,,,,,,,
534,4700.5,,,,,,,,
535,2100,,,,,,,,
536,4700.5,,,,,,,,
537,3300.5,,,,,,,,
538,3300.5,,,,,,,,
539,0,,,,,,,,
540,2100,,,,,,,,
541,4700.5,,,,,,,,
542,4700.5,,,,,,,,
543,4700.5,,,,,,,,
544,3300.5,,,,,,,,
545,2100,,,,,,,,
546,0,,,,,,,,
547,0,,,,,,,,
548,6350.5,,,,,,,,
549,6350.5,,,,,,,,
550,4700.5,,,,,,,,
551,0,,,,,,,,
552,4700.5,,,,,,,,
553,3300.5,,,,,,,,
554,0,,,,,,,,
555,2100,,,,,,,,
556,3300.5,,,,,,,,
557,3300.5,,,,,,,,
558,6350.5,,,,,,,,
559,2100,,,,,,,,
560,3300.5,,,,,,,,
561,4700.5,,,,,,,,
562,3300.5,,,,,,,,
563,3300.5,,,,,,,,
564,0,,,,,,,,
565,4700.5,,,,,,,,
566,4700.5,,,,,,,,
567,0,,,,,,,,
568,3300.5,,,,,,,,
569,2100,,,,,,,,
570,4700.5,,,,,,,,
571,6350.5,,,,,,,,
572,4700.5,,,,,,,,
573,4700.5,,,,,,,,
574,0,,,,,,,,
575,0,,,,,,,,
576,3300.5,,,,,,,,
577,2100,,,,,,,,
578,0,,,,,,,,
579,3300.5,,,,,,,,
580,3300.5,,,,,,,,
581,3300.5,,,,,,,,
582,6350.5,,,,,,,,
583,4700.5,,,,,,,,
584,3300.5,,,,,,,,
585,0,,,,,,,,
586,2100,,,,,,,,
587,3300.5,,,,,,,,
588,6350.5,,,,,,,,
589,6350.5,,,,,,,,
590,4700.5,,,,,,,,
591,2100,,,,,,,,
592,0,,,,,,,,
593,2100,,,,,,,,
594,6350.5,,,,,,,,
595,0,,,,,,,,
596,4700.5,,,,,,,,
597,6350.5,,,,,,,,
598,3300.5,,,,,,,,
599,4700.5,,,,,,,,
600,3300.5,,,,,,,,
601,3300.5,,,,,,,,
602,3300.5,,,,,,,,
603,0,,,,,,,,
604,3300.5,,,,,,,,
605,6350.5,,,,,,,,
606,0,,,,,,,,
607,0,,,,,,,,
608,0,,,,,,,,
609,0,,,,,,,,
610,2100,,,,,,,,
611,0,,,,,,,,
612,4700.5,,,,,,,,
613,0,,,,,,,,
614,6350.5,,,,,,,,
615,3300.5,,,,,,,,
616,3300.5,,,,,,,,
617,3300.5,,,,,,,,
618,2100,,,,,,,,
619,6350.5,,,,,,,,
620,4700.5,,,,,,,,
621,2100,,,,,,,,
622,2100,,,,,,,,
623,4700.5,,,,,,,,
624,3300.5,,,,,,,,
625,6350.5,,,,,,,,
626,0,,,,,,,,
627,6350.5,,,,,,,,
628,0,,,,,,,,
629,0,,,,,,,,
630,3300.5,,,,,,,,
631,0,,,,,,,,
632,0,,,,,,,,
633,2100,,,,,,,,
634,3300.5,,,,,,,,
635,3300.5,,,,,,,,
636,4700.5,,,,,,,,
637,3300.5,,,,,,,,
638,2100,,,,,,,,
639,2100,,,,,,,,
640,3300.5,,,,,,,,
641,3300.5,,,,,,,,
642,0,,,,,,,,
643,4700.5,,,,,,,,
644,3300.5,,,,,,,,
645,3300.5,,,,,,,,
646,2100,,,,,,,,
647,3300.5,,,,,,,,
648,3300.5,,,,,,,,
649,0,,,,,,,,
650,6350.5,,,,,,,,
651,3300.5,,,,,,,,
652,0,,,,,,,,
653,0,,,,,,,,
654,3300.5,,,,,,,,
655,3300.5,,,,,,,,
656,4700.5,,,,,,,,
657,2100,,,,,,,,
658,3300.5,,,,,,,,
659,2100,,,,,,,,
660,6350.5,,,,,,,,
661,6350.5,,,,,,,,
662,4700.5,,,,,,,,
663,2100,,,,,,,,
664,4700.5,,,,,,,,
665,3300.5,,,,,,,,
666,6350.5,,,,,,,,
667,3300.5,,,,,,,,
668,0,,,,,,,,
669,3300.5,,,,,,,,
670,4700.5,,,,,,,,
671,3300.5,,,,,,,,
672,0,,,,,,,,
673,4700.5,,,,,,,,
674,3300.5,,,,,,,,
675,6350.5,,,,,,,,
676,3300.5,,,,,,,,
677,6350.5,,,,,,,,
678,2100,,,,,,,,
679,0,,,,,,,,
680,4700.5,,,,,,,,
681,3300.5,,,,,,,,
682,3300.5,,,,,,,,
683,3300.5,,,,,,,,
684,3300.5,,,,,,,,
685,2100,,,,,,,,
686,4700.5,,,,,,,,
687,2100,,,,,,,,
688,6350.5,,,,,,,,
689,3300.5,,,,,,,,
690,3300.5,,,,,,,,
691,3300.5,,,,,,,,
692,6350.5,,,,,,,,
693,3300.5,,,,,,,,
694,0,,,,,,,,
695,3300.5,,,,,,,,
696,3300.5,,,,,,,,
697,6350.5,,,,,,,,
698,3300.5,,,,,,,,
699,4700.5,,,,,,,,
700,6350.5,,,,,,,,
701,4700.5,,,,,,,,
702,3300.5,,,,,,,,
703,3300.5,,,,,,,,
704,0,,,,,,,,
705,0,,,,,,,,
706,3300.5,,,,,,,,
707,2100,,,,,,,,
708,2100,,,,,,,,
709,0,,,,,,,,
710,3300.5,,,,,,,,
711,3300.5,,,,,,,,
712,2100,,,,,,,,
713,2100,,,,,,,,
714,4700.5,,,,,,,,
715,6350.5,,,,,,,,
716,3300.5,,,,,,,,
717,3300.5,,,,,,,,
718,4700.5,,,,,,,,
719,6350.5,,,,,,,,
720,2100,,,,,,,,
721,4700.5,,,,,,,,
722,4700.5,,,,,,,,
723,2100,,,,,,,,
724,2100,,,,,,,,
725,3300.5,,,,,,,,
726,3300.5,,,,,,,,
727,4700.5,,,,,,,,
728,0,,,,,,,,
729,0,,,,,,,,
730,3300.5,,,,,,,,
731,3300.5,,,,,,,,
732,0,,,,,,,,
733,3300.5,,,,,,,,
734,0,,,,,,,,
735,3300.5,,,,,,,,
736,6350.5,,,,,,,,
737,3300.5,,,,,,,,
738,0,,,,,,,,
739,6350.5,,,,,,,,
740,4700.5,,,,,,,,
741,3300.5,,,,,,,,
742,4700.5,,,,,,,,
743,2100,,,,,,,,
744,3300.5,,,,,,,,
745,0,,,,,,,,
746,3300.5,,,,,,,,
747,3300.5,,,,,,,,
748,2100,,,,,,,,
749,2100,,,,,,,,
750,3300.5,,,,,,,,
751,3300.5,,,,,,,,
752,6350.5,,,,,,,,
753,3300.5,,,,,,,,
754,6350.5,,,,,,,,
755,3300.5,,,,,,,,
756,3300.5,,,,,,,,
757,0,,,,,,,,
758,0,,,,,,,,
759,4700.5,,,,,,,,
760,3300.5,,,,,,,,
761,4700.5,,,,,,,,
762,2100,,,,,,,,
763,0,,,,,,,,
764,3300.5,,,,,,,,
765,3300.5,,,,,,,,
766,6350.5,,,,,,,,
767,3300.5,,,,,,,,
768,2100,,,,,,,,
769,4700.5,,,,,,,,
770,0,,,,,,,,
771,0,,,,,,,,
772,6350.5,,,,,,,,
773,3300.5,,,,,,,,
774,3300.5,,,,,,,,
775,0,,,,,,,,
776,0,,,,,,,,
777,0,,,,,,,,
778,6350.5,,,,,,,,
779,0,,,,,,,,
780,3300.5,,,,,,,,
781,6350.5,,,,,,,,
782,3300.5,,,,,,,,
783,3300.5,,,,,,,,
784,4700.5,,,,,,,,
785,3300.5,,,,,,,,
786,2100,,,,,,,,
787,6350.5,,,,,,,,
788,4700.5,,,,,,,,
789,0,,,,,,,,
790,3300.5,,,,,,,,
791,6350.5,,,,,,,,
792,2100,,,,,,,,
793,6350.5,,,,,,,,
794,0,,,,,,,,
795,3300.5,,,,,,,,
796,3300.5,,,,,,,,
797,3300.5,,,,,,,,
798,2100,,,,,,,,
799,6350.5,,,,,,,,
800,3300.5,,,,,,,,
801,6350.5,,,,,,,,
802,0,,,,,,,,
803,2100,,,,,,,,
804,4700.5,,,,,,,,
805,3300.5,,,,,,,,
806,3300.5,,,,,,,,
807,2100,,,,,,,,
808,3300.5,,,,,,,,
809,3300.5,,,,,,,,
810,6350.5,,,,,,,,
811,2100,,,,,,,,
812,6350.5,,,,,,,,
813,0,,,,,,,,
814,0,,,,,,,,
815,2100,,,,,,,,
816,3300.5,,,,,,,,
817,4700.5,,,,,,,,
818,2100,,,,,,,,
819,3300.5,,,,,,,,
820,4700.5,,,,,,,,
821,3300.5,,,,,,,,
822,3300.5,,,,,,,,
823,3300.5,,,,,,,,
824,3300.5,,,,,,,,
825,6350.5,,,,,,,,
826,3300.5,,,,,,,,
827,3300.5,,,,,,,,
828,0,,,,,,,,
829,3300.5,,,,,,,,
830,0,,,,,,,,
831,0,,,,,,,,
832,3300.5,,,,,,,,
833,3300.5,,,,,,,,
834,3300.5,,,,,,,,
835,2100,,,,,,,,
836,0,,,,,,,,
837,3300.5,,,,,,,,
838,3300.5,,,,,,,,
839,0,,,,,,,,
840,3300.5,,,,,,,,
841,3300.5,,,,,,,,
842,0,,,,,,,,
843,4700.5,,,,,,,,
844,6350.5,,,,,,,,
845,2100,,,,,,,,
846,2100,,,,,,,,
847,6350.5,,,,,,,,
848,2100,,,,,,,,
849,3300.5,,,,,,,,
850,2100,,,,,,,,
851,3300.5,,,,,,,,
852,4700.5,,,,,,,,
853,2100,,,,,,,,
854,0,,,,,,,,
855,3300.5,,,,,,,,
856,3300.5,,,,,,,,
857,2100,,,,,,,,
858,0,,,,,,,,
859,3300.5,,,,,,,,
860,3300.5,,,,,,,,
861,4700.5,,,,,,,,
862,3300.5,,,,,,,,
863,3300.5,,,,,,,,
864,0,,,,,,,,
865,6350.5,,,,,,,,
866,6350.5,,,,,,,,
867,0,,,,,,,,
868,3300.5,,,,,,,,
869,2100,,,,,,,,
870,2100,,,,,,,,
871,3300.5,,,,,,,,
872,3300.5,,,,,,,,
873,0,,,,,,,,
874,4700.5,,,,,,,,
875,2100,,,,,,,,
876,0,,,,,,,,
877,6350.5,,,,,,,,
878,0,,,,,,,,
879,2100,,,,,,,,
880,3300.5,,,,,,,,
881,0,,,,,,,,
882,0,,,,,,,,
883,3300.5,,,,,,,,
884,4700.5,,,,,,,,
885,4700.5,,,,,,,,
886,3300.5,,,,,,,,
887,0,,,,,,,,
888,2100,,,,,,,,
889,6350.5,,,,,,,,
890,0,,,,,,,,
891,4700.5,,,,,,,,
892,3300.5,,,,,,,,
893,2100,,,,,,,,
894,0,,,,,,,,
895,2100,,,,,,,,
896,2100,,,,,,,,
897,3300.5,,,,,,,,
898,3300.5,,,,,,,,
899,0,,,,,,,,
900,4700.5,,,,,,,,
901,0,,,,,,,,
902,4700.5,,,,,,,,
903,2100,,,,,,,,
904,4700.5,,,,,,,,
905,3300.5,,,,,,,,
906,4700.5,,,,,,,,
907,2100,,,,,,,,
908,2100,,,,,,,,
909,6350.5,,,,,,,,
910,2100,,,,,,,,
911,0,,,,,,,,
912,0,,,,,,,,
913,4700.5,,,,,,,,
914,2100,,,,,,,,
915,0,,,,,,,,
916,6350.5,,,,,,,,
917,3300.5,,,,,,,,
918,3300.5,,,,,,,,
919,3300.5,,,,,,,,
920,4700.5,,,,,,,,
921,4700.5,,,,,,,,
922,2100,,,,,,,,
923,6350.5,,,,,,,,
924,4700.5,,,,,,,,
925,6350.5,,,,,,,,
926,3300.5,,,,,,,,
927,3300.5,,,,,,,,
928,2100,,,,,,,,
929,4700.5,,,,,,,,
930,3300.5,,,,,,,,
931,3300.5,,,,,,,,
932,0,,,,,,,,
933,0,,,,,,,,
934,2100,,,,,,,,
935,3300.5,,,,,,,,
936,3300.5,,,,,,,,
937,0,,,,,,,,
938,4700.5,,,,,,,,
939,0,,,,,,,,
940,4700.5,,,,,,,,
941,3300.5,,,,,,,,
942,6350.5,,,,,,,,
943,4700.5,,,,,,,,
944,3300.5,,,,,,,,
945,3300.5,,,,,,,,
946,2100,,,,,,,,
947,4700.5,,,,,,,,
948,3300.5,,,,,,,,
949,0,,,,,,,,
950,4700.5,,,,,,,,
951,3300.5,,,,,,,,
952,0,,,,,,,,
953,3300.5,,,,,,,,
954,3300.5,,,,,,,,
955,0,,,,,,,,
956,6350.5,,,,,,,,
957,3300.5,,,,,,,,
958,0,,,,,,,,
959,3300.5,,,,,,,,
960,6350.5,,,,,,,,
961,3300.5,,,,,,,,
962,2100,,,,,,,,
963,0,,,,,,,,
964,3300.5,,,,,,,,
965,2100,,,,,,,,
966,6350.5,,,,,,,,
967,0,,,,,,,,
968,6350.5,,,,,,,,
969,3300.5,,,,,,,,
970,0,,,,,,,,
971,2100,,,,,,,,
972,2100,,,,,,,,
973,3300.5,,,,,,,,
974,0,,,,,,,,
975,0,,,,,,,,
976,3300.5,,,,,,,,
977,6350.5,,,,,,,,
978,4700.5,,,,,,,,
979,3300.5,,,,,,,,
980,3300.5,,,,,,,,
981,4700.5,,,,,,,,
982,3300.5,,,,,,,,
983,0,,,,,,,,
984,2100,,,,,,,,
985,2100,,,,,,,,
