loss,mae,mse,val_loss,val_mae,val_mse
127016.7283203125,263.8208923339844,127016.703125,123487.24140625,262.3581848144531,123487.2578125
128675.295703125,264.7943115234375,128675.3046875,122266.53046875,262.23016357421875,122266.53125
127834.933984375,264.36492919921875,127834.921875,122495.473828125,262.1104736328125,122495.4765625
128568.52255859374,264.87353515625,128568.5234375,121540.758984375,258.3149108886719,121540.7578125
127441.96162109375,263.5648498535156,127441.984375,120972.21640625,260.74615478515625,120972.2109375
126802.75947265625,262.87506103515625,126802.765625,119926.78671875,257.17706298828125,119926.78125
125408.67216796875,261.2108154296875,125408.6640625,120201.337109375,259.2132873535156,120201.34375
124942.358203125,261.0453796386719,124942.3515625,119987.725390625,259.338623046875,119987.7265625
127180.17431640625,262.3605651855469,127180.1953125,120204.9921875,259.2692565917969,120205.0078125
125464.017578125,261.2497863769531,125464.0390625,120162.463671875,258.7390441894531,120162.4609375
124204.79599609374,260.04638671875,124204.796875,120981.474609375,261.3077392578125,120981.4765625
123617.5322265625,259.29052734375,123617.5078125,117828.778515625,256.15673828125,117828.7734375
124111.0859375,259.51666259765625,124111.1171875,118245.798828125,256.2455749511719,118245.796875
124368.76005859375,260.0559997558594,124368.78125,118223.405078125,253.7790985107422,118223.4140625
122653.47265625,258.13385009765625,122653.4375,118720.8453125,259.7347106933594,118720.84375
123080.71171875,258.7900695800781,123080.7265625,118415.238671875,258.59210205078125,118415.234375
123911.261328125,259.3837890625,123911.2421875,116364.283203125,254.04049682617188,116364.2890625
122584.56201171875,257.40863037109375,122584.5625,117622.065234375,256.1788024902344,117622.0546875
121749.02578125,256.9087829589844,121749.015625,119420.388671875,258.4360656738281,119420.390625
124031.81884765625,258.1990966796875,124031.8046875,116165.35078125,252.17669677734375,116165.3515625
121766.20615234374,256.5728454589844,121766.21875,115615.6796875,253.40577697753906,115615.6796875
119896.6513671875,254.62551879882812,119896.6640625,115625.15859375,253.11524963378906,115625.1484375
120052.62421875,254.6814727783203,120052.609375,114412.3234375,251.6175537109375,114412.3359375
120459.4947265625,254.8054962158203,120459.484375,115840.3078125,254.08090209960938,115840.3203125
119367.973828125,253.6331787109375,119367.9765625,114212.469140625,250.1907958984375,114212.46875
118761.26591796875,253.22215270996094,118761.28125,114681.705078125,252.16004943847656,114681.6875
119781.09208984375,253.8397216796875,119781.0703125,115300.798828125,253.16375732421875,115300.796875
119337.29287109376,252.78619384765625,119337.3046875,115262.1375,253.0635986328125,115262.140625
117653.397265625,251.4010009765625,117653.375,112935.71796875,249.24705505371094,112935.703125
118363.87451171875,252.05377197265625,118363.875,112735.562890625,248.5440673828125,112735.5625
118001.110546875,250.78701782226562,118001.0859375,112070.6984375,246.95274353027344,112070.6953125
118115.08486328126,250.51844787597656,118115.0859375,113552.255078125,250.43455505371094,113552.2421875
118431.649609375,251.3479461669922,118431.640625,114396.318359375,253.28494262695312,114396.328125
117909.778125,250.46463012695312,117909.7734375,113668.79453125,251.17564392089844,113668.796875
118139.06826171876,250.43064880371094,118139.046875,112527.196484375,250.31027221679688,112527.203125
117261.80966796874,249.39779663085938,117261.8125,110535.967578125,244.3843231201172,110535.9765625
117061.66396484376,249.2445526123047,117061.671875,113277.917578125,251.16957092285156,113277.9296875
117243.79853515625,248.61929321289062,117243.8125,114378.541015625,251.26185607910156,114378.546875
116773.75458984375,248.75172424316406,116773.7578125,109538.892578125,243.32589721679688,109538.890625
115925.91923828125,247.53175354003906,115925.9140625,108987.911328125,242.20155334472656,108987.9140625
117556.95966796875,248.4738006591797,117556.96875,109563.573046875,241.97830200195312,109563.5703125
115218.0470703125,246.69142150878906,115218.0625,109789.794140625,241.98817443847656,109789.7890625
113245.76005859375,244.57139587402344,113245.75,112352.12734375,245.4302520751953,112352.140625
114363.25908203125,245.50387573242188,114363.265625,114940.0375,251.99310302734375,114940.03125
116758.772265625,246.99920654296875,116758.7421875,108834.429296875,241.39010620117188,108834.4296875
115702.0373046875,245.9555206298828,115702.0390625,107770.130078125,239.7530059814453,107770.140625
115084.9287109375,245.49655151367188,115084.9140625,108051.921875,239.43878173828125,108051.9296875
115298.43125,245.02639770507812,115298.421875,109173.03359375,240.1873321533203,109173.015625
